folder,droid_score,raft_score,combined_score,task
put_blue_cup_on_plate_s61,0.28823697566986,1.5943097631211112,0.677893077411888,put_blue_cup_on_plate
put_blue_cup_on_plate_s62,0.44935992360115,0.44469407703468405,0.4470209128018392,put_blue_cup_on_plate
put_blue_cup_on_plate_s63,0.7990804910659791,0.737065959318402,0.767447085290032,put_blue_cup_on_plate
put_blue_cup_on_plate_s64,0.142708450555801,1.420484117539093,0.45023892263233783,put_blue_cup_on_plate
put_blue_cup_on_plate_s65,0.147915616631507,1.004263650431215,0.38541701715692495,put_blue_cup_on_plate
put_blue_cup_on_plate_s66,0.19409197568893402,0.736922706490516,0.3781941089345268,put_blue_cup_on_plate
put_blue_cup_on_plate_s67,0.23417277634143802,0.788772527631676,0.42977791089976136,put_blue_cup_on_plate
put_blue_cup_on_plate_s68,0.171530306339263,0.586917679245902,0.3172919307467161,put_blue_cup_on_plate
put_blue_cup_on_plate_s69,0.40130129456520003,1.098497637639422,0.6639491878611752,put_blue_cup_on_plate
put_blue_cup_on_plate_s70,0.28247275948524403,0.6735633347387331,0.43619180855643436,put_blue_cup_on_plate
put_blue_cup_on_plate_s71,0.22060395777225403,0.8834010744042131,0.44145415765833584,put_blue_cup_on_plate
put_carrot_on_plate_s42,0.289243698120117,1.9345548227916112,0.7480359557938063,put_carrot_on_plate
put_carrot_on_plate_s43,0.24140405654907202,1.342925065342489,0.5693747082678545,put_carrot_on_plate
put_carrot_on_plate_s44,0.24478597939014402,1.262499205273219,0.5559155551359247,put_carrot_on_plate
put_carrot_on_plate_s45,0.23268258571624703,1.092725865235789,0.5042402996608727,put_carrot_on_plate
put_carrot_on_plate_s46,0.13844680786132801,1.18925319965987,0.405768787897467,put_carrot_on_plate
put_carrot_on_plate_s47,0.281921237707138,0.7023599951317021,0.444983369513411,put_carrot_on_plate
put_carrot_on_plate_s48,0.12806509435176802,0.798834432884701,0.3198480999143505,put_carrot_on_plate
put_carrot_on_plate_s49,0.271661579608917,0.46674774375994404,0.3560862667230013,put_carrot_on_plate
put_carrot_on_plate_s50,0.107216171920299,0.573092029373793,0.24788048238514793,put_carrot_on_plate
put_carrot_on_plate_s51,0.149382770061492,1.2824594671826341,0.43769549654905865,put_carrot_on_plate
put_carrot_on_plate_s52,0.12670581042766502,1.281556467776413,0.4029648258327595,put_carrot_on_plate
put_carrot_on_plate_s53,0.36344364285469005,1.123761408230969,0.6390805425820597,put_carrot_on_plate
put_carrot_on_plate_s54,0.12085929512977601,0.8233787371109581,0.31545677008438977,put_carrot_on_plate
put_carrot_on_plate_s55,0.146657526493072,1.000724665274404,0.3830976430490685,put_carrot_on_plate
put_carrot_on_plate_s56,0.12657183408737102,0.710916463746548,0.2999699996654809,put_carrot_on_plate
put_carrot_on_plate_s57,0.12310652434825801,0.48882863391447506,0.24531203419954356,put_carrot_on_plate
put_carrot_on_plate_s58,0.12564390897750802,1.09816806640344,0.3714540733081275,put_carrot_on_plate
put_carrot_on_plate_s59,0.104042723774909,0.600240058815057,0.24990120175367328,put_carrot_on_plate
put_carrot_on_plate_s60,0.15096890926361,2.111916830096677,0.5646536817334641,put_carrot_on_plate
put_carrot_on_plate_s61,0.261441051959991,1.025327608412902,0.5177477460569875,put_carrot_on_plate
put_carrot_on_plate_s62,0.161688283085823,0.361562810447389,0.24178600052303112,put_carrot_on_plate
put_carrot_on_plate_s63,0.47237458825111306,1.090889378173106,0.7178498595403037,put_carrot_on_plate
put_carrot_on_plate_s64,0.11012837290763801,0.819890890793279,0.30048835212842734,put_carrot_on_plate
put_carrot_on_plate_s65,0.15250486135482702,0.511837907354697,0.27938820500742845,put_carrot_on_plate
put_carrot_on_plate_s66,0.15483783185482,0.661650859011092,0.3200759042073562,put_carrot_on_plate
put_carrot_on_plate_s67,0.11856126785278301,0.535323063049587,0.25192971453561075,put_carrot_on_plate
put_carrot_on_plate_s68,0.14176321029663,0.8321580474497791,0.343466732422015,put_carrot_on_plate
put_carrot_on_plate_s69,0.21833071112632702,1.6184779190756111,0.5944438030748038,put_carrot_on_plate
put_carrot_on_plate_s70,0.192765638232231,0.9684904623289011,0.43207832865426044,put_carrot_on_plate
put_carrot_on_plate_s71,0.20160616934299402,0.70870142117055,0.37799282894008773,put_carrot_on_plate
put_eggplant_into_pot_s42,0.25457093119621205,0.46365069365210904,0.3435578391374399,put_eggplant_into_pot
put_eggplant_into_pot_s43,0.120944879949092,0.359480525127224,0.20851217939379144,put_eggplant_into_pot
put_eggplant_into_pot_s44,0.13465030491352,0.42013686818842505,0.2378477609879538,put_eggplant_into_pot
put_eggplant_into_pot_s45,0.17046925425529402,0.42963864565699705,0.2706292288804053,put_eggplant_into_pot
put_eggplant_into_pot_s46,0.124795332551002,0.38433729158775803,0.2190057079517465,put_eggplant_into_pot
put_eggplant_into_pot_s47,0.21908462047576902,0.35055081867610005,0.2771286579679617,put_eggplant_into_pot
put_eggplant_into_pot_s48,0.136967450380325,0.42936739384467304,0.24250640653671343,put_eggplant_into_pot
put_eggplant_into_pot_s49,0.10097156465053501,0.5720302641693931,0.24033058648587052,put_eggplant_into_pot
put_eggplant_into_pot_s50,0.097744606435298,0.355920823706518,0.18651900931358362,put_eggplant_into_pot
put_eggplant_into_pot_s51,0.158456861972808,0.435553889298719,0.26270992086011297,put_eggplant_into_pot
